id,text,argument,label
1arg4,"I am pro because I believe, not only should heterosexual couples have the right to get married, but so should homosexual couples. this is partially a biast opinion, but it is an opinion none the less. One day, I would like to be able to marry my girlfriend. It's my right as a human being to marry whoever I want to as long as there is consent. To tell me otherwise is to take away my 14th amendment right. 'Equal protection of the law. Homosexuality is found in over 1500 species. Yet, homophobia is only found in 1. Tell me, which is the one that's not natural now?",It is discriminatory to refuse gay couples the right to marry,5
1arg7,"I am pro because I believe, not only should heterosexual couples have the right to get married, but so should homosexual couples. this is partially a biast opinion, but it is an opinion none the less. One day, I would like to be able to marry my girlfriend. It's my right as a human being to marry whoever I want to as long as there is consent. To tell me otherwise is to take away my 14th amendment right. 'Equal protection of the law. Homosexuality is found in over 1500 species. Yet, homophobia is only found in 1. Tell me, which is the one that's not natural now?",Marriage should be between a man and a woman,1
2arg7,"In answer to It is wrong to create fatherless or motherless families by design. Same-sex marriages have more to do with the desires of adults than the needs of children. Human experience and a vast body of social science research show that children do best in married, mother-father households..Bologna!!There is no solid evidence saying that gay couples put children in an unstable environment children need love and acceptance it doesn't matter what your sexual orientation is if you are capable of being responsible and compassionate- there are many good married Christian parents who abuse and shame their children- Children need positive role models not intolerance and a morality that picks and chooses what's right and wrong, and translates the bible to suit their own agenda.As for Ann Landers comment that gay marriage 'flies in the face of cultural and traditional family life as we have known it for centuries. And that's where I must draw the line. Sorry.- Obviously the first few thousand years of existence when people lived without marriage and in poly-amorous extended families, with different spiritual beliefs is not a part of history she cares to learn about Christianity was not the first religion and God is way too big to fit into such a limited un-inclusive belief system",Marriage should be between a man and a woman,1
3arg5,"There is a mixed up message in culture today thinking the church is invading in political issues and that it has to do with our constitutional rights. This is the complete reverse of what was written in a letter by Thomas Jefferson when he stated, Believing with you that religion is a matter which lies solely between man and his God; that he owes account to none other for his faith or his worship; that the legislative powers of the government reach actions only, and not opinions, I contemplate with sovereign reverence that act of the whole American people which declared that their legislature should `make no law respecting an establishment of religion, or prohibiting the free exercise thereof, thus building a wall of separation between church and State. Adhering to this expression of the supreme will of the nation in behalf of the rights of conscience, I shall see with sincere satisfaction the progress of those sentiments which tend to restore man to all of his natural rights, convinced he has no natural right in opposition to his social duties. It means the government should not butt in with the business of God and the church. A True Marriage is between God, man, and woman. NOT Ones government or county!",Major world religions are against gay marriages,4
3arg7,"There is a mixed up message in culture today thinking the church is invading in political issues and that it has to do with our constitutional rights. This is the complete reverse of what was written in a letter by Thomas Jefferson when he stated, Believing with you that religion is a matter which lies solely between man and his God; that he owes account to none other for his faith or his worship; that the legislative powers of the government reach actions only, and not opinions, I contemplate with sovereign reverence that act of the whole American people which declared that their legislature should `make no law respecting an establishment of religion, or prohibiting the free exercise thereof, thus building a wall of separation between church and State. Adhering to this expression of the supreme will of the nation in behalf of the rights of conscience, I shall see with sincere satisfaction the progress of those sentiments which tend to restore man to all of his natural rights, convinced he has no natural right in opposition to his social duties. It means the government should not butt in with the business of God and the church. A True Marriage is between God, man, and woman. NOT Ones government or county!",Marriage should be between a man and a woman,5
4arg5,"'Congress shall make no law... prohibiting the free exercise thereof; or abridging the freedom of speech' That's from the Bill of Rights. Same-sex marriage isn't wrong. It's actually sort of genetic. The Bible isn't meant to dictate what laws should be vetoed or voted for. Religion will never fit with Politics. There are just too many religions, and us Athiests are tired of it! We need to stop all our fussing about this so-called 'Bible' and focus on something like our economy!",Major world religions are against gay marriages,1
4arg7,"'Congress shall make no law... prohibiting the free exercise thereof; or abridging the freedom of speech' That's from the Bill of Rights. Same-sex marriage isn't wrong. It's actually sort of genetic. The Bible isn't meant to dictate what laws should be vetoed or voted for. Religion will never fit with Politics. There are just too many religions, and us Athiests are tired of it! We need to stop all our fussing about this so-called 'Bible' and focus on something like our economy!",Marriage should be between a man and a woman,2
5arg4,"A lot of the comments I see on the right have to do with it not being right or going against the Bible. Since when are we a theocracy? Freedom of religion, people! Even going along with the Bible thing, it also sanctioned farmers selling their daughters as slaves. Should that be practiced, too, then? The Bible does not run our laws and government. One more thing: when the South was just becoming desegregated, many were against it. They said that it just wasn't right to be using the same facilities as blacks. Is this not the same thing? Just because we're brought up to believe that it's wrong doesn't mean it is wrong.",It is discriminatory to refuse gay couples the right to marry,4
5arg5,"A lot of the comments I see on the right have to do with it not being right or going against the Bible. Since when are we a theocracy? Freedom of religion, people! Even going along with the Bible thing, it also sanctioned farmers selling their daughters as slaves. Should that be practiced, too, then? The Bible does not run our laws and government. One more thing: when the South was just becoming desegregated, many were against it. They said that it just wasn't right to be using the same facilities as blacks. Is this not the same thing? Just because we're brought up to believe that it's wrong doesn't mean it is wrong.",Major world religions are against gay marriages,1
6arg3,"Absollutely, gay marriage should be allowed. The contingency that some view marriage is religous values, however in the US we are guanranteed religous freedom under the constition, who is to say what each US citizens beleif in these values are? I also beleive when 2 people committ to each other in love  matrimony  deticate their lives to each other-who has a moral right to object? Lovedevotion should not be interferred with. Laws are to protect people not to constrain choices that cause no harm. No matter what an individuals beleifs are laws should not forbade the freedom of choice. Besides who is to say God would prevent love? God is love. As for those who say marriage is about procreation-what about those who cant have children, should they not be allowed to marry? God is w/in a person, the church may not be caught up w/Gods love,or caught up w/Gods love for all? There is no impirical evidence that gay marriages would cause divorce w/hetrosexuals-they been getting divorce for multiple years on their own. And what I dont get is why would a person care-or prevent those that want to married no matter the sex want to stop freedom of choice, whether by laws or by discrimination?","Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates",1
6arg4,"Absollutely, gay marriage should be allowed. The contingency that some view marriage is religous values, however in the US we are guanranteed religous freedom under the constition, who is to say what each US citizens beleif in these values are? I also beleive when 2 people committ to each other in love  matrimony  deticate their lives to each other-who has a moral right to object? Lovedevotion should not be interferred with. Laws are to protect people not to constrain choices that cause no harm. No matter what an individuals beleifs are laws should not forbade the freedom of choice. Besides who is to say God would prevent love? God is love. As for those who say marriage is about procreation-what about those who cant have children, should they not be allowed to marry? God is w/in a person, the church may not be caught up w/Gods love,or caught up w/Gods love for all? There is no impirical evidence that gay marriages would cause divorce w/hetrosexuals-they been getting divorce for multiple years on their own. And what I dont get is why would a person care-or prevent those that want to married no matter the sex want to stop freedom of choice, whether by laws or by discrimination?",It is discriminatory to refuse gay couples the right to marry,5
6arg5,"Absollutely, gay marriage should be allowed. The contingency that some view marriage is religous values, however in the US we are guanranteed religous freedom under the constition, who is to say what each US citizens beleif in these values are? I also beleive when 2 people committ to each other in love  matrimony  deticate their lives to each other-who has a moral right to object? Lovedevotion should not be interferred with. Laws are to protect people not to constrain choices that cause no harm. No matter what an individuals beleifs are laws should not forbade the freedom of choice. Besides who is to say God would prevent love? God is love. As for those who say marriage is about procreation-what about those who cant have children, should they not be allowed to marry? God is w/in a person, the church may not be caught up w/Gods love,or caught up w/Gods love for all? There is no impirical evidence that gay marriages would cause divorce w/hetrosexuals-they been getting divorce for multiple years on their own. And what I dont get is why would a person care-or prevent those that want to married no matter the sex want to stop freedom of choice, whether by laws or by discrimination?",Major world religions are against gay marriages,1
6arg6,"Absollutely, gay marriage should be allowed. The contingency that some view marriage is religous values, however in the US we are guanranteed religous freedom under the constition, who is to say what each US citizens beleif in these values are? I also beleive when 2 people committ to each other in love  matrimony  deticate their lives to each other-who has a moral right to object? Lovedevotion should not be interferred with. Laws are to protect people not to constrain choices that cause no harm. No matter what an individuals beleifs are laws should not forbade the freedom of choice. Besides who is to say God would prevent love? God is love. As for those who say marriage is about procreation-what about those who cant have children, should they not be allowed to marry? God is w/in a person, the church may not be caught up w/Gods love,or caught up w/Gods love for all? There is no impirical evidence that gay marriages would cause divorce w/hetrosexuals-they been getting divorce for multiple years on their own. And what I dont get is why would a person care-or prevent those that want to married no matter the sex want to stop freedom of choice, whether by laws or by discrimination?","Marriage is about more than procreation, therefore gay couples should not be denied the right to marry due to their biology.",5
