id,text,label,line,uid
ab1,"Once again...  1. In all instances abortion is legal except extreme circumstance we know scientifically beyond doubt (despite christian blitz misinformation campaign on the subject) that the cluster of cells is not self-aware and is not capable of feeling pain.  2. Nowhere in the U.S. is abortion legal after the 3rd trimester unless that cluster of cells is known to have birth defects which will kill it or the mother upon birth (again despite christian harassment and even murder of abortion doctors and their bullshit pictures of babies being sucked into a vacuum they make up and spread online like a disease).  3. No one is forcing anyone to have an abortion. If one side is not forcing one to abort, what gives another a right to force another not to abort? If you don't want an abortion don't have one, and if you think it's a sin let god handle it, he's like all powerful or something right? He doesn't need your help asshole.  4. Making abortion illegal never in the history of the world has been shown to stop abortions from happening.  5. Making abortions illegal has been shown to force rape victims and young girls, many of whom are practically babies themselves, to seek dangerous means for having an abortion, resulting in more deaths. Basically in their self-righteous single-minded inability to feel the least bit of empathy for actual living women, amidst their floating misconceptions of what a fetus is, pro-lifers would actually kill more ""people"" than save.",p-right,"Making abortions illegal has been shown to force rape victims and young girls, many of whom are practically babies themselves, to seek dangerous means for having an abortion, resulting in more deaths.",ab1arg0
ab1,"Once again...  1. In all instances abortion is legal except extreme circumstance we know scientifically beyond doubt (despite christian blitz misinformation campaign on the subject) that the cluster of cells is not self-aware and is not capable of feeling pain.  2. Nowhere in the U.S. is abortion legal after the 3rd trimester unless that cluster of cells is known to have birth defects which will kill it or the mother upon birth (again despite christian harassment and even murder of abortion doctors and their bullshit pictures of babies being sucked into a vacuum they make up and spread online like a disease).  3. No one is forcing anyone to have an abortion. If one side is not forcing one to abort, what gives another a right to force another not to abort? If you don't want an abortion don't have one, and if you think it's a sin let god handle it, he's like all powerful or something right? He doesn't need your help asshole.  4. Making abortion illegal never in the history of the world has been shown to stop abortions from happening.  5. Making abortions illegal has been shown to force rape victims and young girls, many of whom are practically babies themselves, to seek dangerous means for having an abortion, resulting in more deaths. Basically in their self-righteous single-minded inability to feel the least bit of empathy for actual living women, amidst their floating misconceptions of what a fetus is, pro-lifers would actually kill more ""people"" than save.",p-not_human,In all instances abortion is legal except extreme circumstance we know scientifically beyond doubt (despite christian blitz misinformation campaign on the subject) that the cluster of cells is not self-aware and is not capable of feeling pain.,ab1arg1
ab1,"Once again...  1. In all instances abortion is legal except extreme circumstance we know scientifically beyond doubt (despite christian blitz misinformation campaign on the subject) that the cluster of cells is not self-aware and is not capable of feeling pain.  2. Nowhere in the U.S. is abortion legal after the 3rd trimester unless that cluster of cells is known to have birth defects which will kill it or the mother upon birth (again despite christian harassment and even murder of abortion doctors and their bullshit pictures of babies being sucked into a vacuum they make up and spread online like a disease).  3. No one is forcing anyone to have an abortion. If one side is not forcing one to abort, what gives another a right to force another not to abort? If you don't want an abortion don't have one, and if you think it's a sin let god handle it, he's like all powerful or something right? He doesn't need your help asshole.  4. Making abortion illegal never in the history of the world has been shown to stop abortions from happening.  5. Making abortions illegal has been shown to force rape victims and young girls, many of whom are practically babies themselves, to seek dangerous means for having an abortion, resulting in more deaths. Basically in their self-righteous single-minded inability to feel the least bit of empathy for actual living women, amidst their floating misconceptions of what a fetus is, pro-lifers would actually kill more ""people"" than save.",p-other,Nowhere in the U.S. is abortion legal after the 3rd trimester unless that cluster of cells is known to have birth defects which will kill it or the mother upon birth,ab1arg2
ab10,"Try pricking a newborn with a needle and see if it has feelings, won't you?   Any creature with a nervous system has ""feelings"", what I am referring to are thoughts and emotions.   No, you're wrong here. The fetus is considered a parasite.   It is both, humans maybe parasites for the first nine months of their existence, but they are still human.    Conversely, when a woman chooses to abort the fetus, she is simply disallowing the fetus to continue living within her.   Thus killing a human being.   The fetus, within the first trimester, is not a person.   You made the point earlier that unborn babies are not human, but rather parasites. Unborn babies still fit the definition of ""parasite"" regardless of what trimester they're in. Do you contend that the unborn baby can be both a parasite and a person at the same time?",c-kill,"when a woman chooses to abort the fetus, she is simply disallowing the fetus to continue living within her.   Thus killing a human being.",ab10arg0
ab10,"Try pricking a newborn with a needle and see if it has feelings, won't you?   Any creature with a nervous system has ""feelings"", what I am referring to are thoughts and emotions.   No, you're wrong here. The fetus is considered a parasite.   It is both, humans maybe parasites for the first nine months of their existence, but they are still human.    Conversely, when a woman chooses to abort the fetus, she is simply disallowing the fetus to continue living within her.   Thus killing a human being.   The fetus, within the first trimester, is not a person.   You made the point earlier that unborn babies are not human, but rather parasites. Unborn babies still fit the definition of ""parasite"" regardless of what trimester they're in. Do you contend that the unborn baby can be both a parasite and a person at the same time?",c-baby_right,"humans maybe parasites for the first nine months of their existence, but they are still human.",ab10arg1
ab100,There are other ways the child can get taken care of.,c-adopt,There are other ways the child can get taken care of.,ab100arg0
ab101,"Another moral relativist......sigh....  If there is nothing wrong with abortion then how can you say abortion is wrong after 24 weeks? My neice was born at 23 weeks and last year graduated from college. Although it was a long road...she is normal, in fact she is brilliant and graduated with over a 4.4 grade point. To say...that 24 weeks is the cutoff time is wrong. But then...tell me cattiscus...is abortion wrong? And just to let you know.....without intervention no baby could survive birth without help. One who is born earlier than 40 weeks just might need additional help.  Who are you to say...that poverty would be that childs life? Look at the poor people you would have exterminated in order to save them from a life you find pathetic. There are many poor people who are happy. They say the happiest people live in poorer countries. You have no right to tell someone that they dont have a right to live. Funny your saying that....and you were born. LOL Is your life perfect?   You know Hitler had the same idea.........kill people who are undesirable....the Jew, the black the person of faith....dredges on society. Is that where you came up with the idea? Lets kill unborns because they MIGHT end up getting a divorce....lets kill them because they MIGHT be obese, they MIGHT end up being a drunk or abused, MIGHT become a criminal, MIGHT, MIGHT, MIGHT........... You would have aborted Oprah...she was born into poverty.   What makes you think that you have the right to decide for another human being whether he lives or dies?  It is a scientific fact that the sperm in a male is human, it is a fact that the eggs in a female is human.....when the sperm of a male homosapien meets the egg of a female homosapien.........starts another separate HUMAN BEING, who has its own organs, finderprints and DNA. Louise Brown the first test tube baby was NOT APART OF ANYTHING WHEN SHE WAS CONCEIVED. She began her life in a petri dish. She was a human being from conception. Could she sing the Star Spangled Banner, do times tables, drive a car? No But can a baby who is just born do any of those tasks? No   HUMAN EMBRYOLOGY, by Dr. Bradley M. Patten.  He states, ""It is the penetration of the ovum by a spermaozoan and the resultant mingling of the nuclear material each brings to the union that constitutes the culmination of the process of fertilization and marks the initiation of the life of a new individual.""   Dr. Keith Moore's text on embryology, referring to the single-cell zygote says, ""The cell results from fertilization of an oocyte by a sperm and is the beginning of a human being. He also states, ""Each of us stated life as a cell called a zygote.""  Dr. Keith Moore, the Developing Human: Clinically Oriented Embryology, 2d ed. (Philadelphia, Penn)  J.P. Greenhill and E.A. Friedman, Biological Principles and Modern Practice of Obstetrics (New York : McGraw Hill) In their work on biology and obstetrics, state, âThe zygote thus formed represents the beginning of a new life.â?  Dr. Louis Fridhandler, in the medical textbook âGametogenesis to Implantation Biology of Gestation,â? vol.1, ed. N.S. Assau (New York: Academic Press) refers to fertilization as âthat wondrous moment that marks the beginning of life for a new unique individual.â?    Doctors, E.L. Potter and J.M Craig write in Pathology of the Fetus and the Infant, 3d ed. (Chicago: Year Book Medical Publishers) âEvery time a sperm cell and ovum unite a new being is created which is alive and will continue to live unless its death is brought about by some specific condition.â?  These doctors tesified before a United States Senate Committee on life.   Dr. Alfred Bongioanni, professor of pediatrics at the University of Pennsylvania.  He said, âI have learned from my earliest medical education that human life begins at the time of conception. I submit that human life is present throughout this entire sequence from conception to adulthood and that any interruption at any point throughout this time constitutes a termination of human lifeâ¦.I am no more prepared to say that these early stages of development in the womb represents an incomplete human being than I would be to say that prior to the dramatic effects of pubertyâ¦.is not a human being. This is human life at every stage.â?  Dr Jerome LeJeune, professor of genetics at the University of Descartes, Paris France. He is the doctor who discovered the chromosome pattern of Down syndrome. He saysâ? after fertilization has taken place a new human being has come into being. This is no longer a matter of taste or opinion and not a metaphysical contention; it is plain experimental evidence. Each individual has a very neat beginning at conception.â?  Professor Hymie Gordon, Mayo Clinic: âBy all the criteria of modern molecular biology, life is present from the moment of conception.â?  I could go on and on and on showing you proof about when life starts...but would it really matter or affect your views on abortion?   Could you just answer this one question for me. What is the goal of every abortionist?",c-baby_right,The cell results from fertilization of an oocyte by a sperm and is the beginning of a human being.,ab101arg0
ab102,I agree with you. We should not abort a fetus simply for the purpose that it will cause or bring convenience to us.,c-kill,We should not abort a fetus simply for the purpose that it will cause or bring convenience to us.,ab102arg0
ab103,"Well hey, it has the potential to do all those things. You can't know it wont. Why is a sperm suddenly too precious to let die just because it meets an egg? Especially when any other sperm can do the same damn thing.   Sperm and fetus are the same, the only difference is a fetus is a few steps closer to being birthed. You're older than me, probably a few steps closer to making your own children than I am. Is your life worth more than mine? Surely you must think so. A fetus is closer to being born than a sperm, just as you are closer to creating a fetus than I am. You're one step farther on the chain, so, is it alright for people like me to die en masse as long as you get to live?  And furthermore, I am farther along the chain of life than a fetus. I am much more capable of creating life than a fetus. I have much more potential at this time. Sure, the fetus has the potential to one day be like me, but right now it is not. That means it's worth less right? Is it o.k. to abort millions of un-born children but not o.k. to kill me?   No? But at the same time, you say it is o.k. to let millions of sperm die, but wrong to kill a fetus. Why? Because one is farther down the road of life than the other? Or is the life of a fetus worth more than any other conceivable form of life?",p-not_human,"Sure, the fetus has the potential to one day be like me, but right now it is not.",ab103arg0
ab104,Although abortion is such a sadening thing that hurts me i dont feel that it should be banned. Every mother should have the right to do what they want to do and what they think is best.,p-right,Every mother should have the right to do what they want to do and what they think is best.,ab104arg0
