id,text,label,line,uid
gr1,"I've been reading the opposite side with a lot of interest and just like I expected, people have brought in a whole array of ""issues"" they have about homosexuality.   First I read about how the motives of the gay person are selfish   My response: WHO CARES? I see an old lady crossing the street. I help her cross over. Did I do it because I truly cared for her or did I do cause I wanted to feel good about myself? Does it matter? As long as I didn't help her because I wanted to steal her purse in the process then where is the harm???? So what if gays want to satisfy their parental instincts by caring for a child? How does that undermine the care and the love? Don't straight couples do the same? How many times have I heard straight couples saying that they will have children because that ""completes the family"", that they can't wait to be great mums or great dads. That's selfish too isn't it? But is it wrong? Hell no! I would be worried of someone didn't have that streak of selfishness in them. In my opinion, the people that make the best parents are the ones that wanted to be parents in the first place. Not just procreate, but BE PARENTS afterward. Here we have people that are begging to be parents and we're telling them ""you can't! we'd rather leave the kids in the orphanage than give them to you!""   Then it's about how it is unnatural for them to become parents because by definition they would be required to do something that is unnatural for them    Right, so, should we exclude all infertile individuals from the right to adopt?  Because the above argument basically implies that inability to conceive/procreate equals inability to perform as a parent, because nature didn't want you to become one in the first place. Isn't that ridiculous? The fact that we have children in foster care proves that the ability to conceive/procreate does not equal the ability to become a parent. So the two are clearly not cross linked.   Then it's about how it is no one's right to adopt because the only person that has authority over a child is the biological parent - only they can ""appoint"" someone to look after their child   Someone actually used the word ""property"", the child is the property of the biological parents and no institution should ever have the right bypass them and give the child to someone else.   Since when are human beings ""property""?  As a parent, all you have, is the responsibility to raise the child and provide for it. That's all you have. You don't posses a child. No one has possession of another human being, however young.   Now, I know for a fact that adoption agencies always look for people in the immediate or larger family that would foster the child. It's only when they have exhausted all those possibilities that the child is put up for adoption. In other words, no one in the family has offered to take over the responsibility! So it is then in the hands of the agency to find suitable parents from the general public. Let's be realistic, the family has absolved itself, or is not existent, or is mentally incapable. Now, I'm not saying everybody else then has the right to be their parent. But I think they do have the right to at least apply for the role, whether gay or straight.    But the child is going to be bullied!   Well, is that really an argument? If the kid is going to be bullied that's because the parents of the other children are bigoted and they have instilled that bigotry on their bully-kid. Kids are bullied everyday for being black, Muslim, Asian, tall, short, ginger etc etc. Does that mean we should take them away from their black, Muslim or ginger parents?   The reality is, these kids are spending their life in an orphanage. I find it funny how people who are otherwise unwilling to adopt them, think that they have the right to obstruct others who do. And they justify it with an array of bigoted crap. And all this time, those kids remain in the orphanage, when they could be in the hands of very loving, very caring, very responsible people who could give them a much better life, a much better education and much more to experience.",p-no_threat_for_child,"all this time, those kids remain in the orphanage, when they could be in the hands of very loving, very caring, very responsible people who could give them a much better life, a much better education and much more to experience.",gr1arg0
gr1,"I've been reading the opposite side with a lot of interest and just like I expected, people have brought in a whole array of ""issues"" they have about homosexuality.   First I read about how the motives of the gay person are selfish   My response: WHO CARES? I see an old lady crossing the street. I help her cross over. Did I do it because I truly cared for her or did I do cause I wanted to feel good about myself? Does it matter? As long as I didn't help her because I wanted to steal her purse in the process then where is the harm???? So what if gays want to satisfy their parental instincts by caring for a child? How does that undermine the care and the love? Don't straight couples do the same? How many times have I heard straight couples saying that they will have children because that ""completes the family"", that they can't wait to be great mums or great dads. That's selfish too isn't it? But is it wrong? Hell no! I would be worried of someone didn't have that streak of selfishness in them. In my opinion, the people that make the best parents are the ones that wanted to be parents in the first place. Not just procreate, but BE PARENTS afterward. Here we have people that are begging to be parents and we're telling them ""you can't! we'd rather leave the kids in the orphanage than give them to you!""   Then it's about how it is unnatural for them to become parents because by definition they would be required to do something that is unnatural for them    Right, so, should we exclude all infertile individuals from the right to adopt?  Because the above argument basically implies that inability to conceive/procreate equals inability to perform as a parent, because nature didn't want you to become one in the first place. Isn't that ridiculous? The fact that we have children in foster care proves that the ability to conceive/procreate does not equal the ability to become a parent. So the two are clearly not cross linked.   Then it's about how it is no one's right to adopt because the only person that has authority over a child is the biological parent - only they can ""appoint"" someone to look after their child   Someone actually used the word ""property"", the child is the property of the biological parents and no institution should ever have the right bypass them and give the child to someone else.   Since when are human beings ""property""?  As a parent, all you have, is the responsibility to raise the child and provide for it. That's all you have. You don't posses a child. No one has possession of another human being, however young.   Now, I know for a fact that adoption agencies always look for people in the immediate or larger family that would foster the child. It's only when they have exhausted all those possibilities that the child is put up for adoption. In other words, no one in the family has offered to take over the responsibility! So it is then in the hands of the agency to find suitable parents from the general public. Let's be realistic, the family has absolved itself, or is not existent, or is mentally incapable. Now, I'm not saying everybody else then has the right to be their parent. But I think they do have the right to at least apply for the role, whether gay or straight.    But the child is going to be bullied!   Well, is that really an argument? If the kid is going to be bullied that's because the parents of the other children are bigoted and they have instilled that bigotry on their bully-kid. Kids are bullied everyday for being black, Muslim, Asian, tall, short, ginger etc etc. Does that mean we should take them away from their black, Muslim or ginger parents?   The reality is, these kids are spending their life in an orphanage. I find it funny how people who are otherwise unwilling to adopt them, think that they have the right to obstruct others who do. And they justify it with an array of bigoted crap. And all this time, those kids remain in the orphanage, when they could be in the hands of very loving, very caring, very responsible people who could give them a much better life, a much better education and much more to experience.",p-right_denied,the people that make the best parents are the ones that wanted to be parents in the first place.,gr1arg1
gr1,"I've been reading the opposite side with a lot of interest and just like I expected, people have brought in a whole array of ""issues"" they have about homosexuality.   First I read about how the motives of the gay person are selfish   My response: WHO CARES? I see an old lady crossing the street. I help her cross over. Did I do it because I truly cared for her or did I do cause I wanted to feel good about myself? Does it matter? As long as I didn't help her because I wanted to steal her purse in the process then where is the harm???? So what if gays want to satisfy their parental instincts by caring for a child? How does that undermine the care and the love? Don't straight couples do the same? How many times have I heard straight couples saying that they will have children because that ""completes the family"", that they can't wait to be great mums or great dads. That's selfish too isn't it? But is it wrong? Hell no! I would be worried of someone didn't have that streak of selfishness in them. In my opinion, the people that make the best parents are the ones that wanted to be parents in the first place. Not just procreate, but BE PARENTS afterward. Here we have people that are begging to be parents and we're telling them ""you can't! we'd rather leave the kids in the orphanage than give them to you!""   Then it's about how it is unnatural for them to become parents because by definition they would be required to do something that is unnatural for them    Right, so, should we exclude all infertile individuals from the right to adopt?  Because the above argument basically implies that inability to conceive/procreate equals inability to perform as a parent, because nature didn't want you to become one in the first place. Isn't that ridiculous? The fact that we have children in foster care proves that the ability to conceive/procreate does not equal the ability to become a parent. So the two are clearly not cross linked.   Then it's about how it is no one's right to adopt because the only person that has authority over a child is the biological parent - only they can ""appoint"" someone to look after their child   Someone actually used the word ""property"", the child is the property of the biological parents and no institution should ever have the right bypass them and give the child to someone else.   Since when are human beings ""property""?  As a parent, all you have, is the responsibility to raise the child and provide for it. That's all you have. You don't posses a child. No one has possession of another human being, however young.   Now, I know for a fact that adoption agencies always look for people in the immediate or larger family that would foster the child. It's only when they have exhausted all those possibilities that the child is put up for adoption. In other words, no one in the family has offered to take over the responsibility! So it is then in the hands of the agency to find suitable parents from the general public. Let's be realistic, the family has absolved itself, or is not existent, or is mentally incapable. Now, I'm not saying everybody else then has the right to be their parent. But I think they do have the right to at least apply for the role, whether gay or straight.    But the child is going to be bullied!   Well, is that really an argument? If the kid is going to be bullied that's because the parents of the other children are bigoted and they have instilled that bigotry on their bully-kid. Kids are bullied everyday for being black, Muslim, Asian, tall, short, ginger etc etc. Does that mean we should take them away from their black, Muslim or ginger parents?   The reality is, these kids are spending their life in an orphanage. I find it funny how people who are otherwise unwilling to adopt them, think that they have the right to obstruct others who do. And they justify it with an array of bigoted crap. And all this time, those kids remain in the orphanage, when they could be in the hands of very loving, very caring, very responsible people who could give them a much better life, a much better education and much more to experience.",p-normal,"The reality is, these kids are spending their life in an orphanage. I find it funny how people who are otherwise unwilling to adopt them, think that they have the right to obstruct others who do.",gr1arg2
gr10,It's pointless to try and keep gay marriage banned.   1. marriage is obsolete and should just be abolished. Property and custody rights should be settled through civil unions.  2. Gays will stop raiding churches and beating up old christian women if they just get their marriage (which hurts no one when they do).,p-normal,Gays will stop raiding churches and beating up old christian women if they just get their marriage (which hurts no one when they do).,gr10arg0
gr100,"This is a highly bigoted opinion. Making a case against gay marriage on god alone is a weak position. In what way does the people on the other side being gay somehow devalue their opinions?   If I'm gay, does my opinion somehow mean less than yours?   Gay people don't harm other people. To deprive them of their right to marry the person they love who happens to be the same sex, is wrong.   This is a completely black and white issue, no gray area whatsoever. Homosexual couples are being deprived the right to marriage as well as all the legal benefits that come along with marriage. This is a civil rights issue.",p-right_denied,Homosexual couples are being deprived the right to marriage as well as all the legal benefits that come along with marriage.,gr100arg0
gr100,"This is a highly bigoted opinion. Making a case against gay marriage on god alone is a weak position. In what way does the people on the other side being gay somehow devalue their opinions?   If I'm gay, does my opinion somehow mean less than yours?   Gay people don't harm other people. To deprive them of their right to marry the person they love who happens to be the same sex, is wrong.   This is a completely black and white issue, no gray area whatsoever. Homosexual couples are being deprived the right to marriage as well as all the legal benefits that come along with marriage. This is a civil rights issue.",p-normal,In what way does the people on the other side being gay somehow devalue their opinions?,gr100arg1
gr101,"I'm all for replacing marriage with a different contract that likewise incorporates someone into your family, just with out the religious and sexual undertones.   Whats wrong with people getting divorces? Especially if their gays because the only kids they can have are adopted ones. Most people won't decide and won't be allowed to adopt unless their in a stable situation. Gay divorce has Little Effect on children, and well...what other effect does it have besides two guys/girls don't have the same rights to each other which they used to. Its a contract, people should be able to enter and leave it.",p-no_threat_for_child,"Gay divorce has Little Effect on children, and well...what other effect does it have besides two guys/girls don't have the same rights to each other which they used to.",gr101arg0
gr102,"Nope, they should'nt if their children percieved that their family is abnormal that mindset will stay with him for a pretty good long time.  During his childhood years, his friends will laugh at him for having two fathers  And when he is old enough to find out about how babies came about he will be curious how two males will give birth to a offspring.  He might think this is alright if he is gay too -,-",c-abnormal,they should'nt if their children percieved that their family is abnormal that mindset will stay with him for a pretty good long time.,gr102arg0
gr102,"Nope, they should'nt if their children percieved that their family is abnormal that mindset will stay with him for a pretty good long time.  During his childhood years, his friends will laugh at him for having two fathers  And when he is old enough to find out about how babies came about he will be curious how two males will give birth to a offspring.  He might think this is alright if he is gay too -,-",c-threat_to_child,when he is old enough to find out about how babies came about he will be curious how two males will give birth to a offspring.  He might think this is alright if he is gay too,gr102arg1
gr103,"Not only is marrige defined in the dictionary as a bond between a man and a woman; it is also defined that way in the bible. Now I'm not trying to be a holier-than-thou Jesus freak, but generally what the bible says goes. Just ask the founding fathers.",c-religion,Not only is marrige defined in the dictionary as a bond between a man and a woman; it is also defined that way in the bible.,gr103arg0
