id,text,label,line,uid
ma1,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",c-crime,"The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",ma1arg0
ma1,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",p-legal,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart.",ma1arg1
ma10,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",c-illegal,"I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",ma10arg0
ma100,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",p-right,Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times.,ma100arg0
ma100,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",p-legal,Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.,ma100arg1
ma101,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",c-Other,There's a lot of companies that would fire people for that even if it wasn't illegal.,ma101arg0
ma101,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",c-crime,Desperate people do desperate (and often illegal) things.,ma101arg1
ma102,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",p-not_addictive,it's less harmful than Alcohol or Ambien.,ma102arg0
ma103,"Isn't that funny...I don't think your question had anything to do with HEMP being useful. I used to be a weed smoker in the 60's, 70's and 80's along with other things offered along the way. I never really drank so pot was a miracle to me. I've thought about it for many years and today we know a great deal about what we inhale or ingest than we did back then.  After all that wonderful thinking I came to the conclusion that weed should not be legalized because of the abuse factor and not for any other reason. If I was still out there partying like I did years ago, I'd probably enjoy a few tokes for a nice buzz and although marijuana itself does NOT lead to other drugs, in the wrong hands a person with an addictive mindset/personality WILL go past the joint or two over the week-end. Pot laced with what have you will send you reeling and there is plenty of stuff out there to lace it with. For the safety of all, I would say no, don't legalize it with the exception of those who are terminally ill and have been prescribed it to calm them and take away some of the pain.",c-mind,Pot laced with what have you will send you reeling and there is plenty of stuff out there to lace it with.,ma103arg0
ma103,"Isn't that funny...I don't think your question had anything to do with HEMP being useful. I used to be a weed smoker in the 60's, 70's and 80's along with other things offered along the way. I never really drank so pot was a miracle to me. I've thought about it for many years and today we know a great deal about what we inhale or ingest than we did back then.  After all that wonderful thinking I came to the conclusion that weed should not be legalized because of the abuse factor and not for any other reason. If I was still out there partying like I did years ago, I'd probably enjoy a few tokes for a nice buzz and although marijuana itself does NOT lead to other drugs, in the wrong hands a person with an addictive mindset/personality WILL go past the joint or two over the week-end. Pot laced with what have you will send you reeling and there is plenty of stuff out there to lace it with. For the safety of all, I would say no, don't legalize it with the exception of those who are terminally ill and have been prescribed it to calm them and take away some of the pain.",c-illegal,"For the safety of all, I would say no, don't legalize it with the exception of those who are terminally ill and have been prescribed it to calm them and take away some of the pain.",ma103arg1
