id,text,label,present,uid
ma1,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",p-not_addictive,0,ma1arg0
ma1,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",p-medicine,0,ma1arg1
ma1,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",p-legal,1,ma1arg2
ma1,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",p-right,0,ma1arg3
ma1,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",p-no_damage,0,ma1arg4
ma1,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",p-Other,0,ma1arg5
ma1,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",c-health,0,ma1arg6
ma1,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",c-mind,0,ma1arg7
ma1,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",c-illegal,0,ma1arg8
ma1,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",c-crime,1,ma1arg9
ma1,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",c-addiction,0,ma1arg10
ma1,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",c-Other,0,ma1arg11
ma10,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",p-not_addictive,0,ma10arg0
ma10,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",p-medicine,0,ma10arg1
ma10,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",p-legal,0,ma10arg2
ma10,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",p-right,0,ma10arg3
ma10,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",p-no_damage,0,ma10arg4
ma10,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",p-Other,0,ma10arg5
ma10,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",c-health,0,ma10arg6
ma10,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",c-mind,0,ma10arg7
ma10,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",c-illegal,1,ma10arg8
ma10,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",c-crime,0,ma10arg9
ma10,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",c-addiction,0,ma10arg10
ma10,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",c-Other,0,ma10arg11
ma100,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",p-not_addictive,0,ma100arg0
ma100,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",p-medicine,0,ma100arg1
ma100,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",p-legal,1,ma100arg2
ma100,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",p-right,1,ma100arg3
ma100,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",p-no_damage,0,ma100arg4
ma100,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",p-Other,0,ma100arg5
ma100,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",c-health,0,ma100arg6
ma100,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",c-mind,0,ma100arg7
ma100,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",c-illegal,0,ma100arg8
ma100,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",c-crime,0,ma100arg9
ma100,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",c-addiction,0,ma100arg10
ma100,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",c-Other,0,ma100arg11
ma101,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",p-not_addictive,0,ma101arg0
ma101,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",p-medicine,0,ma101arg1
ma101,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",p-legal,0,ma101arg2
ma101,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",p-right,0,ma101arg3
ma101,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",p-no_damage,0,ma101arg4
ma101,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",p-Other,0,ma101arg5
ma101,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",c-health,0,ma101arg6
ma101,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",c-mind,0,ma101arg7
ma101,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",c-illegal,0,ma101arg8
ma101,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",c-crime,1,ma101arg9
ma101,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",c-addiction,0,ma101arg10
ma101,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",c-Other,1,ma101arg11
ma102,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",p-not_addictive,1,ma102arg0
ma102,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",p-medicine,0,ma102arg1
ma102,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",p-legal,0,ma102arg2
ma102,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",p-right,0,ma102arg3
ma102,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",p-no_damage,0,ma102arg4
ma102,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",p-Other,0,ma102arg5
ma102,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",c-health,0,ma102arg6
ma102,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",c-mind,0,ma102arg7
ma102,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",c-illegal,0,ma102arg8
ma102,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",c-crime,0,ma102arg9
ma102,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",c-addiction,0,ma102arg10
