id,text,label,line,uid
oba1,"Rave, you seem to know about as much about the Healthcare Bill as you do grammar.  This bill will  decrease  the national debt by half a trillion over ten years. It's  good  for the economy.  You see, uninsured people currently only have the option of going to an emergency room when very sick. This bill insures the uninsured, meaning that hospital visit will no longer be taken care of by tax payers. Next, insured people are more likely to see a doctor, which in turn leads to people catching diseases like cancer before they are life-threatening, and before they cost hundreds of thousands to treat. Which again saves money.  Then there is the whole human life thing. We are the only Western nation without some kind of Universal Healthcare, and we have the worst overall healthcare in the western world and we pay the most for that crappy healthcare.  link   You sound very uninformed. Maybe you're young. Try doing some research and don't listen to everything you hear on Faux News or you'll end up a bitter misinformed old man like Joe.",p-health,"Rave, you seem to know about as much about the Healthcare Bill as you do grammar.  This bill will  decrease  the national debt by half a trillion over ten years. It's  good  for the economy.  You see, uninsured people currently only have the option of going to an emergency room when very sick. This bill insures the uninsured, meaning that hospital visit will no longer be taken care of by tax payers. Next, insured people are more likely to see a doctor, which in turn leads to people catching diseases like cancer before they are life-threatening, and before they cost hundreds of thousands to treat. Which again saves money.  Then there is the whole human life thing. We are the only Western nation without some kind of Universal Healthcare, and we have the worst overall healthcare in the western world and we pay the most for that crappy healthcare.",oba1arg0
oba10,"You have to support Obama by default. Yes it is very conceivable he is not the best suited president, but when you consider the other candidates it's disturbing he almost lost. While there is certainly no rule saying the more intelligent candidate is necessarily the better choice, in this case that should be the only thing considered.    John McCain, once a very viable candidate to lead our country, has inevitably aged to a point where his health, mentally and physically is a legitimate concern. Now pretend for a moment Sarah Palin was randomly picked to be the vice presidential candidate. If this were true we could just begin by picking apart why she is not fit for the job and why it would endanger America if she did become president. But for McCain to pull a stunt to try and steal the presidency as if it were a beauty pageant (no pun intended), he has just proved that he does not believe he is ""A"" the best choice or ""B"" going to win the election.    Now with it being a conscious decision of his to appoint Sarah Palin, you have to be disgusted by the fact that Sarah Palin isn't even qualified. It would be tolerable if Palin was in fact per say a moderately qualified running mate, but she is not. Sarah Palin jumped from community college to community college, and while that doesn't imply anything on it's own, after further research one can conclude that it is because she is not a hardworking and or intelligent person. And secondly she is a delusional Christian fundamentalist who doesn't understand much less appreciate science.   If Sarah Palin were in office she doesn't even have the knowledge to make decisions, not to mention she doesn't have the smarts to make an informed decision even if she did have the knowledge. Obama is a teachable intellectual who has the capacity to learn and conclude, he graduated from Harvard Law. Does Sarah Palin even have a BA from anywhere? Everyone should be thankful that Obama is the president regardless of allegiances, no rational person could actually think that while times might be tough, if Sarah Palin were currently in office that anything would be better off.",p-quality,"Obama is a teachable intellectual who has the capacity to learn and conclude, he graduated from Harvard Law.",oba10arg0
oba10,"You have to support Obama by default. Yes it is very conceivable he is not the best suited president, but when you consider the other candidates it's disturbing he almost lost. While there is certainly no rule saying the more intelligent candidate is necessarily the better choice, in this case that should be the only thing considered.    John McCain, once a very viable candidate to lead our country, has inevitably aged to a point where his health, mentally and physically is a legitimate concern. Now pretend for a moment Sarah Palin was randomly picked to be the vice presidential candidate. If this were true we could just begin by picking apart why she is not fit for the job and why it would endanger America if she did become president. But for McCain to pull a stunt to try and steal the presidency as if it were a beauty pageant (no pun intended), he has just proved that he does not believe he is ""A"" the best choice or ""B"" going to win the election.    Now with it being a conscious decision of his to appoint Sarah Palin, you have to be disgusted by the fact that Sarah Palin isn't even qualified. It would be tolerable if Palin was in fact per say a moderately qualified running mate, but she is not. Sarah Palin jumped from community college to community college, and while that doesn't imply anything on it's own, after further research one can conclude that it is because she is not a hardworking and or intelligent person. And secondly she is a delusional Christian fundamentalist who doesn't understand much less appreciate science.   If Sarah Palin were in office she doesn't even have the knowledge to make decisions, not to mention she doesn't have the smarts to make an informed decision even if she did have the knowledge. Obama is a teachable intellectual who has the capacity to learn and conclude, he graduated from Harvard Law. Does Sarah Palin even have a BA from anywhere? Everyone should be thankful that Obama is the president regardless of allegiances, no rational person could actually think that while times might be tough, if Sarah Palin were currently in office that anything would be better off.",p-republicans,"You have to support Obama by default. Yes it is very conceivable he is not the best suited president, but when you consider the other candidates it's disturbing he almost lost. While there is certainly no rule saying the more intelligent candidate is necessarily the better choice, in this case that should be the only thing considered.",oba10arg1
oba100,Seriously? Bush raised the debt by two BILLION for the wars (BOTH OF THEM) Obama has outspent that in a week. Learn the truth,c-economy,Bush raised the debt by two BILLION for the wars (BOTH OF THEM) Obama has outspent that in a week.,oba100arg0
oba101,"Did anyone know that or joke for a president has got us into more debt in 3 years than bush did in 8? All democraps give this arguement about usama: Obama got him. Ok well why did it take him over 16 hours to say ""go get him"" when he knew that they could immediatley and they were waiting for a command? He is destroying our country inside and out and you democraps are defending him? how stupid can you get! CUT spending, CAP debt and balance the damn budget why is that so freakin hard to understand!? FORGET THE DEBT CEILING! whats the point in having a freakin limit if all your gonna do is raise it? How is spending more money going to help our debt that makes NOOO sense and dems will say ""we will go bankrupt"" HELLO we have been pretty much with over 14 trillion dollars in debt! Jobs? give me a break the only jobs obama baby has made is for the freakin foreigners, hell they have more freakin rights than we do! they get our jobs but they dont have to speak english? However a real American looking for work can't get one because.....why? Ronald Reagan restored America's honor after Carter, who will after obama?",c-economy,"How is spending more money going to help our debt that makes NOOO sense and dems will say ""we will go bankrupt"" HELLO we have been pretty much with over 14 trillion dollars in debt!",oba101arg0
oba101,"Did anyone know that or joke for a president has got us into more debt in 3 years than bush did in 8? All democraps give this arguement about usama: Obama got him. Ok well why did it take him over 16 hours to say ""go get him"" when he knew that they could immediatley and they were waiting for a command? He is destroying our country inside and out and you democraps are defending him? how stupid can you get! CUT spending, CAP debt and balance the damn budget why is that so freakin hard to understand!? FORGET THE DEBT CEILING! whats the point in having a freakin limit if all your gonna do is raise it? How is spending more money going to help our debt that makes NOOO sense and dems will say ""we will go bankrupt"" HELLO we have been pretty much with over 14 trillion dollars in debt! Jobs? give me a break the only jobs obama baby has made is for the freakin foreigners, hell they have more freakin rights than we do! they get our jobs but they dont have to speak english? However a real American looking for work can't get one because.....why? Ronald Reagan restored America's honor after Carter, who will after obama?",c-republicans,Did anyone know that or joke for a president has got us into more debt in 3 years than bush did in 8?,oba101arg1
oba101,"Did anyone know that or joke for a president has got us into more debt in 3 years than bush did in 8? All democraps give this arguement about usama: Obama got him. Ok well why did it take him over 16 hours to say ""go get him"" when he knew that they could immediatley and they were waiting for a command? He is destroying our country inside and out and you democraps are defending him? how stupid can you get! CUT spending, CAP debt and balance the damn budget why is that so freakin hard to understand!? FORGET THE DEBT CEILING! whats the point in having a freakin limit if all your gonna do is raise it? How is spending more money going to help our debt that makes NOOO sense and dems will say ""we will go bankrupt"" HELLO we have been pretty much with over 14 trillion dollars in debt! Jobs? give me a break the only jobs obama baby has made is for the freakin foreigners, hell they have more freakin rights than we do! they get our jobs but they dont have to speak english? However a real American looking for work can't get one because.....why? Ronald Reagan restored America's honor after Carter, who will after obama?",c-Other,He is destroying our country inside and out,oba101arg2
oba101,"Did anyone know that or joke for a president has got us into more debt in 3 years than bush did in 8? All democraps give this arguement about usama: Obama got him. Ok well why did it take him over 16 hours to say ""go get him"" when he knew that they could immediatley and they were waiting for a command? He is destroying our country inside and out and you democraps are defending him? how stupid can you get! CUT spending, CAP debt and balance the damn budget why is that so freakin hard to understand!? FORGET THE DEBT CEILING! whats the point in having a freakin limit if all your gonna do is raise it? How is spending more money going to help our debt that makes NOOO sense and dems will say ""we will go bankrupt"" HELLO we have been pretty much with over 14 trillion dollars in debt! Jobs? give me a break the only jobs obama baby has made is for the freakin foreigners, hell they have more freakin rights than we do! they get our jobs but they dont have to speak english? However a real American looking for work can't get one because.....why? Ronald Reagan restored America's honor after Carter, who will after obama?",c-job,Jobs? give me a break the only jobs obama baby has made is for the freakin foreigners,oba101arg3
oba102,"Uh... Well he got a TV show about him. D-does that count? Hell, at least the offshoot of Bush's actions got  some  people more involved and a little easier to question what the hell is going on. If that's anything.  But really, instant results? Democracy is not a fucking microwave. Or something like that. I don't know. You can't expect shit to get done  right now . Especially with all of the bureaucracy we've let happen.  Ask this question at the end of his term. And if he hasn't done anything, then don't vote for him. It's that simple.",p-republicans,"You can't expect shit to get done  right now . Especially with all of the bureaucracy we've let happen.  Ask this question at the end of his term. And if he hasn't done anything, then don't vote for him.",oba102arg0
oba103,no he has failed on every issue i mean you take any issue and he has made it worse or done nothing about it he leads from behind,c-quality,no he has failed on every issue i mean you take any issue and he has made it worse or done nothing about it he leads from behind,oba103arg0
